COMPNAME,2023,2024,2025,TOTAL_3_TAHUN,TREN_24_vs_25
#1 D/G Engine,4172,4054,1171,9397,-2883
#2 D/G Engine,3980,3924,1110,9014,-2814
#1 Life Raft,3941,3799,1140,8880,-2659
#2 Life Raft,3808,3723,1146,8677,-2577
Sewage Treatment Unit,3294,3367,1024,7685,-2343
Saturday Routine,2843,3331,1015,7189,-2316
#3 D/G Engine,3219,2994,883,7096,-2111
Galley,3025,2815,837,6677,-1978
Emergency Fire Pump,2747,2972,846,6565,-2126
Radar Transponder,2773,2814,856,6443,-1958
#1 Main Air Comp.,2594,2802,825,6221,-1977
#2 Main Air Comp.,2573,2767,808,6148,-1959
Smoke Detector,2562,2489,748,5799,-1741
Gyro Repeater,2353,2275,705,5333,-1570
Emergency Generator Engine,2214,1801,535,4550,-1266
Provision Plants,1738,1690,472,3900,-1218
#2 D/G,1510,1559,473,3542,-1086
#1 D/G,1486,1543,468,3497,-1075
#3 D/G,1334,1332,400,3066,-932
Life Boat Port,1262,1336,423,3021,-913
Sludge Pump Motor,1288,1259,366,2913,-893
Life Boat Starboard,1342,1139,406,2887,-733
Oily Water Separator,1214,1193,360,2767,-833
Emg. Generator,1158,1211,328,2697,-883
Accomm. Ladder(S),1091,1080,356,2527,-724
Life Buoy,1102,1073,347,2522,-726
Accomm. Ladder(P),1078,1072,364,2514,-708
#1 Fresh Water Pump,1084,1072,323,2479,-749
Life Boat Davit Port,1061,988,296,2345,-692
Pilot Ladder(P),646,1189,482,2317,-707
Pilot Ladder(S),663,1158,453,2274,-705
#1 M/E L.O. Purifier,916,957,290,2163,-667
Life Boat Davit Stbd,967,903,281,2151,-622
Bilge Cargo holds 1 (P),868,884,338,2090,-546
"Hatches, Ports Cover",832,959,297,2088,-662
Cooling Water Test dan Treatment,786,971,295,2052,-676
#1 H.F.O. Purifier,868,901,267,2036,-634
#2 Fresh Water Pump,892,870,252,2014,-618
#1 Deck Crane,806,892,303,2001,-589
M/E F.O. 2nd Filter,833,882,246,1961,-636
#2 H.F.O. Purifier,867,839,241,1947,-598
Satellite Epirb,849,822,273,1944,-549
U-AIS Transponder,813,815,251,1879,-564
#1 Marine Radar,801,810,261,1872,-549
Life Line Throwing Apparatus,814,800,250,1864,-550
Emergency Air Compressor Motor,852,797,211,1860,-586
CO2 System,784,825,249,1858,-576
#2 Marine Radar,789,810,250,1849,-560
Portable Foam Applicator Unit,798,790,258,1846,-532
#2 Deck Crane,731,842,271,1844,-571
Electric Rudder Angle Indicator,815,777,248,1840,-529
Two-Way VHF Radio Telephone,794,787,252,1833,-535
Navtex Receiver,793,784,251,1828,-533
Emg. Escape Breathing Device,782,792,250,1824,-542
Bilge Alarm,784,791,249,1824,-542
#2 International VHF Radio Tel.,793,781,248,1822,-533
Portable CO2 Fire Extinguishers,799,770,249,1818,-521
#2 GPS ,781,784,252,1817,-532
SSB Radio Telephone,791,771,248,1810,-523
Anchor / Anchor Chain,799,765,238,1802,-527
Magnetic Reflector Compass,786,772,243,1801,-529
#1 International VHF Radio Tel.,788,758,251,1797,-507
Window Wipers,789,769,237,1795,-532
Self Contained Breathing Apparatus,777,769,243,1789,-526
Daylight Signalling Lamp,767,774,238,1779,-536
#1 GPS ,751,753,241,1745,-512
#1 Aux. Boiler Feed Water Pump Motor,759,763,213,1735,-550
#2 Aux. Boiler Feed Water Pump Motor,741,754,228,1723,-526
Bilge Separator Pump,746,743,233,1722,-510
Echo Sounder,753,733,235,1721,-498
Immersion Suits,735,744,241,1720,-503
Life Jacket with Light,744,734,232,1710,-502
Bilge Cargo holds 1 (S),649,739,310,1698,-429
Wind Indicator,734,731,225,1690,-506
Bilge Cargo holds 2 (P),645,713,316,1674,-397
Electric Clock,713,727,215,1655,-512
Group Starter Panels,718,699,227,1644,-472
30 cm Search Light,705,706,223,1634,-483
Sampling Lub Oil,671,736,225,1632,-511
Battery Emergency Generator,669,732,222,1623,-510
M/E F.O. Primary Strainer,675,714,204,1593,-510
Portable Foam Extinguishers,691,673,214,1578,-459
Bilge Cargo holds 2 (S),607,665,300,1572,-365
Charging And Discharging Panel,677,666,203,1546,-463
#1 Steering Gear,626,692,187,1505,-505
GMDSS Radio Station,709,596,183,1488,-413
#2 Steering Gear,628,673,186,1487,-487
Antenna Multi Coupler,634,631,194,1459,-437
HFO / MDO Serv and Settling Tank,631,625,194,1450,-431
Cargo Hold Water Ingress Detection,630,612,190,1432,-422
Bilge Well,647,591,181,1419,-410
Inmarsat C Mes,620,591,189,1400,-402
Boiler Water Test dan Treatment,399,746,244,1389,-502
M/E Air Cooler,605,581,197,1383,-384
Portable Foam Applicator-Car Dk,600,586,179,1365,-407
Inmarsat Fleet F77 MES,582,577,183,1342,-394
Ventilation System For Cargo,591,567,180,1338,-387
Life Boat Starboard Engine,116,907,301,1324,-606
M/E #2 F.O. Booster Pump Motor,574,583,165,1322,-418
M/E Overhead Crane,576,568,173,1317,-395
Bilge Cargo holds 3 (P),504,564,241,1309,-323
Auto Pilot,561,561,186,1308,-375
M/E #1 F.O. Booster Pump Motor,567,551,163,1281,-388
Auxiliary Air Compressor,586,540,147,1273,-393
Life Boat Engine,141,743,336,1220,-407
M/E #1 Piston and Con Rod,539,497,158,1194,-339
#3 Life Raft,506,516,140,1162,-376
Tail End Shaft Monitoring,480,526,153,1159,-373
M/E #5 Piston and Con Rod,509,487,156,1152,-331
M/E #2 Piston and Con Rod,496,505,150,1151,-355
M/E #4 Piston and Con Rod,490,519,136,1145,-383
#1 Anchor Windlass (S),273,669,197,1139,-472
Alarms and Trips,244,685,209,1138,-476
M/E #3 Piston and Con Rod,490,496,147,1133,-349
#2 Anchor Windlass (P),266,664,196,1126,-468
M/E Turbo Charger,442,505,171,1118,-334
M/E #1 Cylinder head,455,482,175,1112,-307
Unit Coolers,482,472,135,1089,-337
