BARANG,NAMA_BARANG_RAPIH,KATEGORI,MEREK,SPESIFIKASI,PART_NO,COA
" 3058812 SEAL,DUST,CUMMINS KTA-38 M2",SEAL SEAL DUST KTA 38 M2 38 M CUMMINS (P/N: 3058812),SEAL,CUMMINS,38 M,3058812,PERLENGKAPAN KAPAL - MESIN
" 370342 BINOCULARS, MAGNIFATION, 7 X 50, CF",LAIN-LAIN BINOCULARS MAGNIFATION 7 X 50 CF 7 X 50 (P/N: 370342),LAIN-LAIN,,7 X 50,370342,PERLENGKAPAN KAPAL - MESIN
" 4W5492 MAIN BEARING,CATERPILLAR 3406",BEARING MAIN BEARING 3406 CATERPILLAR (P/N: 4W5492),BEARING,CATERPILLAR,,4W5492,PERLENGKAPAN KAPAL - MESIN
 91K32-00100 BRACKET ASSY,LAIN-LAIN BRACKET ASSY (P/N: 91K32-00100),LAIN-LAIN,,,91K32-00100,PERLENGKAPAN KAPAL - MESIN
" 923855.1500 GASKET,TWD 1240 VE",SEAL GASKET TWD 1240 VE (P/N: 923855.1500),SEAL,,,923855.1500,PERLENGKAPAN KAPAL - MESIN
 923976.4338 FILTER HOUSHING,FILTER FILTER HOUSHING (P/N: 923976.4338),FILTER,,,923976.4338,PERLENGKAPAN KAPAL - DECK
 AB - A1 FIXED FITTING IN HOLD TYPE,LAIN-LAIN AB A1 FIXED FITTING IN HOLD TYPE,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
 AB - A2 FIXED FITTING IN HOLD TYPE,LAIN-LAIN AB A2 FIXED FITTING IN HOLD TYPE,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
 AIR NON RETURN VALVE TYPE:YJQ-J 25 N ( 31.5 MPA ),VALVE AIR NON RETURN VALVE TYPE YJQ J 25 N 31 5 MPA 31.5 M,VALVE,,31.5 M,,PERLENGKAPAN KAPAL - MESIN
 AS POMPA EBARA 100 X 80 FS GA,PUMP AS POMPA 100 X 80 FS GA 100 X 80 EBARA,PUMP,EBARA,100 X 80,,PERLENGKAPAN KAPAL - MESIN
 AS POMPA EBARA 100 X 80 FSHA,PUMP AS POMPA 100 X 80 FSHA 100 X 80 EBARA,PUMP,EBARA,100 X 80,,PERLENGKAPAN KAPAL - MESIN
 AUXILIARY CONTACTOR CHINT AX-3X/22 2NO 2NC,ELECTRICAL AUXILIARY CONTACTOR AX 3X 22 2NO 2NC CHINT,ELECTRICAL,CHINT,,,PERLENGKAPAN KAPAL - MESIN
 BAUT MUR+KARET COUPLING OD KARET 35X P:40MM,PIPE FITTING BAUT MUR KARET COUPLING OD KARET 35X P 40MM 40MM,PIPE FITTING,,40MM,,PERLENGKAPAN KAPAL - DECK
 BUTTERFLY VALVE 10K 100,VALVE BUTTERFLY VALVE 10K 100 10K,VALVE,,10K,,PERLENGKAPAN KAPAL - MESIN
 BUTTERFLY VALVE 5K150 + ACTUATOR,VALVE BUTTERFLY VALVE 5K150 ACTUATOR,VALVE,,,,PERLENGKAPAN KAPAL - MESIN
 CB436-2000 A TYPE CLEAT FAIRLEAD WITH SINGLE ROLLER SIZE: 300MM,LAIN-LAIN A TYPE CLEAT FAIRLEAD WITH SINGLE ROLLER SIZE 300MM 300MM (P/N: CB436-2000),LAIN-LAIN,,300MM,CB436-2000,PERLENGKAPAN KAPAL - MESIN
 CONTACTOR CHINT NC1-2510 40A COIL 220VAC,ELECTRICAL CONTACTOR NC1 2510 40A COIL 220VAC CHINT,ELECTRICAL,CHINT,,,PERLENGKAPAN KAPAL - MESIN
 DEEP GROOVE BALL BEARING 2RSR 61910 FAG,BEARING DEEP GROOVE BALL BEARING 2RSR 61910 FAG,BEARING,FAG,,,PERLENGKAPAN KAPAL - MESIN
 DN 16 BSP - 16 RABSP,LAIN-LAIN DN 16 BSP 16 RABSP,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
" FOOT VALVE 2,5"".","VALVE FOOT VALVE 2 5 2,5""",VALVE,,"2,5""",,PERLENGKAPAN KAPAL - MESIN
 FUSE PLAT 620 30A,ELECTRICAL FUSE PLAT 620 30A,ELECTRICAL,,,,PERLENGKAPAN KAPAL - MESIN
" GB/T3452.1-92 O RUBBER SEAL RING 87.5X3.55,FOR VALVE DRIVEN MECHANISM,NINGBO GA8300 ZC18BH",SEAL O RUBBER SEAL RING 87 5X3 55 FOR VALVE DRIVEN MECHANISM NINGBO GA8300 ZC18BH 87.5X3.55 (P/N: GB/T3452.1-92),SEAL,,87.5X3.55,GB/T3452.1-92,PERLENGKAPAN KAPAL - MESIN
 GLOBE VALVE PN 40 DN 150,VALVE GLOBE VALVE PN 40 DN 150 PN 40,VALVE,,PN 40,,PERLENGKAPAN KAPAL - MESIN
 HYDRAULIC SEAL 28,SEAL HYDRAULIC SEAL 28,SEAL,,,,PERLENGKAPAN KAPAL - MESIN
